product,feedback_id,source,timestamp,user_segment,region,area,text,sentiment_label,urgency_hint,rating
NovaSearch,fb_0013,support_ticket,2026-01-06T10:48:00Z,free_tier,NA,ui_ux,"UI is fine, but a few screens feel busy.",neutral,1,
NovaSearch,fb_0014,support_ticket,2026-01-06T16:59:00Z,free_tier,APAC,performance,Super fast — results show up instantly.,positive,1,
NovaSearch,fb_0019,survey,2026-01-07T09:46:00Z,enterprise,NA,account_login,2FA codes don’t get delivered sometimes.,negative,3,1.0
NovaSearch,fb_0072,email,2026-01-07T21:50:00Z,pro,NA,billing,Cancellation didn’t work and I’m still being billed.,negative,2,
NovaSearch,fb_0078,support_ticket,2026-01-08T01:31:00Z,power_user,LATAM,billing,I was charged twice for the same month — please fix.,negative,3,
NovaSearch,fb_0024,discord,2026-01-08T03:26:00Z,free_tier,LATAM,billing,Billing was seamless and the receipt came instantly.,positive,2,
NovaSearch,fb_0059,support_ticket,2026-01-08T04:37:00Z,pro,LATAM,pricing,Pricing is fair and the Pro plan is worth it for me.,positive,2,
NovaSearch,fb_0031,google_play,2026-01-08T09:14:00Z,pro,APAC,export_sharing,"Export works, but more formats would be useful.",neutral,2,3.0
NovaSearch,fb_0029,twitter,2026-01-08T09:18:00Z,new_user,EU,account_login,Login is quick and I like the biometric support.,positive,1,
NovaSearch,fb_0060,twitter,2026-01-08T10:29:00Z,enterprise,EU,ui_ux,The new UI is cluttered; I can’t find key actions.,negative,3,
NovaSearch,fb_0008,email,2026-01-08T13:36:00Z,free_tier,EU,billing,Invoice email never arrived; I need it for reimbursement.,negative,5,
NovaSearch,fb_0038,survey,2026-01-08T13:47:00Z,power_user,LATAM,account_login,Password reset link expired immediately.,negative,3,5.0
NovaSearch,fb_0009,google_play,2026-01-09T07:13:00Z,pro,LATAM,privacy_security,App feels trustworthy and privacy controls are appreciated.,positive,1,3.0
NovaSearch,fb_0076,in_app_form,2026-01-09T11:14:00Z,new_user,NA,privacy_security,App feels trustworthy and privacy controls are appreciated.,positive,1,
NovaSearch,fb_0057,google_play,2026-01-09T12:13:00Z,enterprise,LATAM,onboarding,Too many steps to get started; I almost gave up.,negative,3,5.0
NovaSearch,fb_0033,email,2026-01-09T23:51:00Z,free_tier,NA,ui_ux,Dark mode colors look off and hurt readability.,negative,4,
NovaSearch,fb_0054,email,2026-01-10T08:57:00Z,power_user,APAC,notifications,"I turned notifications off, but they still show up.",negative,4,
NovaSearch,fb_0030,survey,2026-01-10T12:54:00Z,power_user,LATAM,notifications,Notifications are helpful and timely.,positive,2,3.0
NovaSearch,fb_0064,email,2026-01-10T17:02:00Z,free_tier,LATAM,export_sharing,Export to PDF fails for large results.,negative,2,
NovaSearch,fb_0017,twitter,2026-01-10T18:26:00Z,power_user,EU,billing,I was charged twice for the same month — please fix.,negative,4,
NovaSearch,fb_0069,google_play,2026-01-11T03:12:00Z,power_user,LATAM,pricing,"Pricing seems reasonable, but I’d like an annual discount.",neutral,2,5.0
NovaSearch,fb_0005,twitter,2026-01-11T06:16:00Z,pro,APAC,notifications,"I turned notifications off, but they still show up.",negative,4,
NovaSearch,fb_0011,google_play,2026-01-11T11:29:00Z,enterprise,APAC,onboarding,Onboarding was smooth and helped me understand the app quickly.,positive,1,5.0
NovaSearch,fb_0040,app_store,2026-01-13T06:43:00Z,enterprise,APAC,privacy_security,App feels trustworthy and privacy controls are appreciated.,positive,2,4.0
NovaSearch,fb_0041,google_play,2026-01-13T11:39:00Z,enterprise,NA,pricing,Pricing is fair and the Pro plan is worth it for me.,positive,1,3.0
NovaSearch,fb_0022,email,2026-01-13T16:08:00Z,power_user,EU,onboarding,Too many steps to get started; I almost gave up.,negative,4,
NovaSearch,fb_0052,twitter,2026-01-13T22:38:00Z,free_tier,APAC,account_login,Password reset link expired immediately.,negative,3,
NovaSearch,fb_0070,in_app_form,2026-01-13T23:57:00Z,new_user,NA,ui_ux,The new UI is cluttered; I can’t find key actions.,negative,3,
NovaSearch,fb_0003,support_ticket,2026-01-14T02:34:00Z,power_user,NA,search_relevance,Search results feel off — I'm not getting what I typed.,negative,2,
NovaSearch,fb_0032,survey,2026-01-15T04:04:00Z,free_tier,EU,export_sharing,I need CSV export but it’s missing.,negative,3,1.0
NovaSearch,fb_0020,email,2026-01-15T14:53:00Z,pro,EU,account_login,Password reset link expired immediately.,negative,5,
NovaSearch,fb_0001,support_ticket,2026-01-15T18:54:00Z,new_user,NA,notifications,"I turned notifications off, but they still show up.",negative,3,
NovaSearch,fb_0034,twitter,2026-01-16T03:59:00Z,power_user,NA,billing,Billing was seamless and the receipt came instantly.,positive,1,
NovaSearch,fb_0071,discord,2026-01-16T06:39:00Z,pro,NA,onboarding,A quick checklist would help new users.,neutral,2,
NovaSearch,fb_0075,email,2026-01-17T03:48:00Z,free_tier,APAC,ui_ux,The UI looks clean and modern — great job.,positive,1,
NovaSearch,fb_0037,app_store,2026-01-17T12:28:00Z,new_user,LATAM,notifications,"I turned notifications off, but they still show up.",negative,3,3.0
